Age,Mobile_Recharge_Level,Bill_Paid_On_Time,Freelance_Rating,Location_Changes_Per_Month,Monthly_Income_k,Creditworthy
30,High,Yes,4.8,2,19.5,Yes
36,Medium,No,4.3,1,23.56,Yes
20,Low,No,5,0,30.71,Yes
34,Medium,No,4.5,2,33.36,Yes
31,Medium,Yes,4.2,1,16.04,Yes
20,Medium,Yes,5,0,37.91,Yes
120,Medium,No,3.6,0,27.2,No
27,Medium,Yes,4.9,2,40.08,Yes
28,Low,No,3.8,2,32.63,No
120,High,Yes,3.3,3,16.99,No
27,High,Yes,5,1,28.61,Yes
25,Medium,Yes,4,3,7.34,No
29,Low,Yes,5,0,25.29,Yes
43,Medium,No,3.3,2,6.23,No
50,High,Yes,3.9,2,24.12,No
41,Medium,No,3.9,4,10.88,No
42,Low,Yes,3.5,1,5,No
18,Low,Yes,3.5,0,26.74,Yes
36,Medium,No,4.6,0,53.15,Yes
28,Medium,Yes,4.5,0,32.84,Yes
24,High,Yes,4.3,3,14.9,Yes
27,Medium,Yes,4.7,2,20.33,Yes
52,Medium,Yes,4.1,1,41.2,Yes
54,High,Yes,4,1,8.96,Yes
33,Medium,No,4.4,1,29.37,Yes
43,High,No,4.2,3,16.41,Yes
51,Medium,No,3.5,2,39.21,No
58,Medium,No,4.6,1,19.1,No
36,Low,Yes,4.1,1,21.27,Yes
54,Medium,No,3.8,2,14.06,No
32,Low,No,3.7,2,15.3,No
44,High,Yes,4.9,0,18.98,Yes
26,Medium,Yes,4.2,2,39.41,Yes
41,Medium,Yes,5,2,27.97,Yes
47,High,Yes,3.7,2,24.65,Yes
48,Low,Yes,3.7,3,8.6,No
31,Low,Yes,4.1,1,40.08,No
21,Medium,No,4.2,1,22.95,Yes
27,Low,Yes,4.3,0,43.69,Yes
56,Medium,No,4.6,1,23.67,Yes
50,Low,Yes,5,2,28.26,Yes
18,Medium,Yes,4.8,1,26.18,Yes
23,High,No,4.6,2,41.41,Yes
42,Medium,Yes,3.7,0,13.74,No
38,Medium,No,3.3,2,18.52,No
36,High,Yes,4,1,25.25,Yes
53,Medium,Yes,4.5,0,21.92,Yes
21,High,No,5,1,24.59,Yes
31,Low,Yes,3.7,2,28.86,Yes
18,Medium,Yes,4.1,2,40.1,Yes
29,Medium,Yes,3.7,0,32.76,Yes
49,Medium,Yes,4.5,2,24.42,Yes
46,Low,Yes,4.3,1,30.76,Yes
120,High,Yes,3.7,3,12.54,No
31,Medium,Yes,4.1,1,19.76,Yes
29,High,No,5,3,25.77,Yes
58,Medium,Yes,4.4,0,18.9,Yes
55,High,Yes,5,2,16.02,Yes
20,Low,No,4.9,1,9.73,No
56,Medium,Yes,4.7,0,34.36,Yes
30,Medium,Yes,3.8,0,32.32,No
52,Low,Yes,4.5,2,28.83,Yes
57,Low,Yes,3.8,2,19.77,Yes
20,Low,Yes,4.8,1,35.97,Yes
120,Medium,Yes,3.4,1,5.35,No
22,Medium,No,4.3,2,12.2,No
24,Low,No,4.4,0,16.5,No
33,Medium,Yes,3.8,3,28.18,No
46,Medium,No,4.7,1,18.83,No
54,Medium,Yes,3.5,2,26.35,Yes
55,Low,No,2.8,0,45.42,No
45,High,No,3.8,0,26.98,Yes
44,Low,Yes,4.9,2,20.88,Yes
36,Medium,Yes,3.4,2,37.22,Yes
28,Low,Yes,4.7,2,30.11,Yes
28,Medium,No,5,1,35.76,Yes
55,Medium,Yes,4.9,4,28.43,Yes
53,Medium,Yes,4.2,1,27.3,Yes
38,Medium,No,3.7,0,13.67,No
33,Low,Yes,3.1,0,5,No
120,High,Yes,4.9,1,22.27,Yes
24,Low,Yes,4.1,1,36.79,Yes
32,Medium,No,4.6,0,28.94,Yes
120,Low,Yes,4.3,2,19.07,Yes
44,Low,Yes,4.6,3,38.99,Yes
53,Low,Yes,4.8,1,17.1,Yes
59,Low,Yes,4.4,4,37.84,Yes
54,Medium,No,3.9,1,24.31,No
20,Medium,Yes,4.2,1,9.05,Yes
27,Medium,Yes,3.5,0,31.76,Yes
51,Medium,No,3.9,2,6.41,No
56,High,Yes,4.1,2,37.52,Yes
32,Low,Yes,4.3,1,10,No
30,Medium,Yes,3.9,0,22.24,Yes
42,Medium,Yes,4.1,3,15.74,No
21,High,No,5,3,12.39,No
56,Low,Yes,4.5,0,5,Yes
48,High,Yes,4.9,3,37,Yes
37,Low,Yes,4.4,1,28.2,Yes
31,Medium,Yes,4.4,1,30.84,Yes
26,Low,Yes,3.9,2,14.95,No
21,Medium,Yes,3.9,2,31.55,Yes
55,Low,No,4.7,1,19.29,No
21,Medium,Yes,4.1,3,23.67,Yes
59,Low,Yes,4,2,20.01,Yes
43,Medium,Yes,5,1,26.3,Yes
120,Low,Yes,4.6,2,26.37,Yes
27,Medium,Yes,5,0,11.21,Yes
23,Medium,Yes,4.3,2,21.62,Yes
59,High,No,4.4,0,22.95,Yes
53,Low,Yes,4,0,29.89,Yes
47,Medium,Yes,4,1,35.37,Yes
40,High,Yes,4.8,0,5,Yes
46,Medium,No,5,1,20.89,Yes
43,Low,Yes,3.8,3,23.97,No
40,Low,No,4.2,1,44.02,Yes
19,High,No,5,2,21.09,Yes
46,Low,No,3.6,4,5,Yes
42,Medium,Yes,3.8,0,31.88,Yes
19,High,No,4,2,24.19,Yes
36,Low,No,4.5,1,14.45,No
22,High,Yes,3.7,1,23.09,No
33,High,Yes,4.7,0,36.3,Yes
52,Medium,Yes,3.7,1,22.3,Yes
41,Low,Yes,4,0,27.71,Yes
31,Medium,Yes,4.4,2,16.14,No
18,Medium,No,5,3,20.16,No
20,High,No,4.5,3,19.45,No
19,Medium,Yes,4.6,2,26.12,Yes
38,Medium,Yes,4.3,2,20.12,Yes
20,Medium,Yes,4.4,0,34.58,Yes
52,Medium,Yes,3.4,4,32.01,No
50,Low,Yes,3.7,3,25.98,No
49,Medium,Yes,3.6,0,23.78,Yes
30,High,No,3.8,1,27.88,Yes
27,High,Yes,4.4,0,35.23,Yes
33,Medium,Yes,4.9,1,23.47,Yes
38,High,Yes,4.2,2,31.36,Yes
30,High,Yes,4.2,5,18.41,Yes
51,Medium,Yes,3.7,1,19.79,No
33,Medium,No,3.9,1,22.68,Yes
53,Low,Yes,3.1,1,24.8,Yes
55,Medium,No,4.7,0,5.86,No
51,Medium,Yes,4.5,0,34.62,Yes
48,Medium,No,4.1,1,23.16,Yes
41,High,No,4.6,1,23.01,Yes
43,Medium,Yes,3.3,0,26.34,No
28,High,No,3.1,0,25.93,Yes
48,Medium,Yes,4.1,1,27.49,Yes
21,Medium,Yes,4.3,3,36.84,Yes
35,Low,Yes,5,3,22.64,Yes
31,Medium,Yes,4.6,4,17.14,No
40,Medium,Yes,2.7,1,21.93,No
35,Low,Yes,5,1,38.6,Yes
19,Medium,Yes,4,1,22.62,Yes
34,Low,Yes,4.1,0,21.25,Yes
41,Low,No,4.2,1,34.72,Yes
59,Low,Yes,3.9,1,23.76,Yes
25,Low,No,4,2,19.91,No
54,Medium,No,3.9,0,13.47,No
31,Low,No,4.1,2,19.07,No
48,Medium,No,3.9,1,14.94,No
40,High,Yes,5,2,28.05,Yes
59,Low,Yes,4.8,1,26.39,Yes
27,Medium,Yes,5,1,36.22,Yes
27,Medium,Yes,4.1,1,11.36,Yes
23,Low,Yes,3.4,1,37.83,Yes
50,High,No,4.5,4,38.03,Yes
18,Medium,Yes,4.8,2,26.98,Yes
40,Medium,No,4.7,2,21.08,No
41,Medium,Yes,3.6,2,29.15,Yes
51,Medium,No,4.4,1,5,No
120,Medium,Yes,3.1,0,31.14,Yes
23,Medium,Yes,2.9,0,31.83,Yes
27,Medium,Yes,4.7,2,28.83,Yes
53,Medium,Yes,3.8,0,30.22,Yes
21,High,Yes,4.4,4,17.91,Yes
50,Low,No,4.4,1,19.71,Yes
26,Medium,No,3.9,1,26.89,No
30,Medium,Yes,4.5,1,36.87,No
120,Medium,Yes,4.6,4,30.38,Yes
52,High,No,4.4,1,25.04,Yes
39,Low,Yes,4.7,2,35.71,Yes
25,Medium,No,4.6,0,28.51,Yes
37,High,Yes,3.9,1,25.21,Yes
53,Low,Yes,4,0,35.47,Yes
59,High,No,4.7,2,31.53,Yes
51,Low,Yes,3.7,4,33.9,Yes
45,Medium,Yes,4.5,3,23.72,Yes
37,Low,Yes,4.5,1,25.41,Yes
51,Low,Yes,4.2,1,19.79,Yes
20,Low,Yes,5,2,23.76,Yes
53,Medium,Yes,5,3,22.59,Yes
57,Medium,Yes,3.9,1,50.39,Yes
23,Low,Yes,5,0,24.72,Yes
29,Low,No,3.8,2,11.18,No
24,Low,No,4,0,24.86,No
21,Medium,No,4.5,0,33.44,Yes
33,High,Yes,5,0,32.12,Yes
28,Medium,Yes,4.5,4,24.65,Yes
25,High,Yes,4.7,3,13.23,Yes
54,Medium,Yes,3.5,2,32.61,Yes
54,Medium,Yes,4.7,1,34.74,Yes
46,Low,No,5,2,39.68,Yes
23,Medium,Yes,3.4,1,6.47,No
31,Low,Yes,4.1,5,19.23,No
39,Medium,Yes,4.1,1,39.39,Yes
47,Medium,No,4.1,2,34.07,Yes
51,Low,Yes,4.6,2,25.61,Yes
54,Low,Yes,3.7,1,31.42,Yes
41,Low,Yes,5,1,14.27,Yes
29,Low,Yes,4,4,41.09,No
26,High,Yes,4.1,4,16.58,Yes
32,Low,No,3.4,1,21.92,Yes
19,Low,Yes,3.7,0,13.66,No
28,Medium,Yes,3.9,2,37.2,Yes
29,Medium,Yes,4,1,16.31,No
41,High,Yes,4.5,1,49.06,No
55,Medium,Yes,4,1,32.83,Yes
56,Low,Yes,4.6,2,19.08,Yes
49,Medium,No,3.5,2,38.63,No
56,Low,Yes,4.9,1,22.09,Yes
36,Medium,No,4.1,3,21.87,No
36,Medium,Yes,5,3,16.66,No
43,Medium,Yes,4.9,1,26.57,Yes
27,Medium,Yes,4.6,0,25.93,Yes
41,High,Yes,4.3,4,15.35,Yes
32,High,No,4.2,1,14.85,Yes
42,Low,Yes,4.2,0,33.51,Yes
50,Low,Yes,4.7,2,18.31,Yes
32,Low,Yes,5,0,25.52,Yes
29,Medium,Yes,4,1,41.75,Yes
35,Medium,Yes,3.3,4,31.76,Yes
56,High,Yes,3.2,1,15.95,Yes
120,High,Yes,5,1,36.6,Yes
48,High,No,4.4,0,37.61,Yes
23,Low,Yes,4.1,0,39.42,Yes
21,Medium,No,5,4,28.96,No
47,Low,Yes,3.7,1,41.85,Yes
25,High,Yes,3.7,1,22.59,Yes
37,High,Yes,3.4,1,5,Yes
43,Medium,Yes,4.7,0,41.14,Yes
46,Medium,Yes,4.3,0,32.33,Yes
39,High,No,3.8,2,18.74,Yes
26,High,Yes,4.3,2,17.77,Yes
19,Low,Yes,4.9,0,26.17,Yes
31,Low,Yes,4.2,3,13.1,No
51,Medium,Yes,4.3,2,22.62,Yes
25,Low,Yes,4.6,2,18.87,Yes
54,Low,No,3.5,3,40.23,No
47,High,Yes,4.4,1,10.93,Yes
26,Medium,Yes,4.6,2,29.23,Yes
41,High,Yes,4.9,1,17.52,Yes
26,High,Yes,4.3,1,19.13,Yes
30,Medium,No,3.8,1,32.55,No
29,High,Yes,3.2,1,18.11,Yes
50,High,No,4.1,3,35.31,Yes
32,Low,Yes,4.1,2,18.48,Yes
42,Medium,Yes,4.3,2,45.61,Yes
40,High,Yes,3.9,3,36.77,Yes
31,High,Yes,5,1,21.08,Yes
44,Medium,Yes,3.6,2,40.54,Yes
47,Low,Yes,3.8,0,33.62,Yes
40,Low,Yes,4.1,2,28.42,Yes
30,Medium,Yes,3.6,1,21.46,Yes
37,Medium,Yes,4,2,31.44,Yes
42,Medium,No,4,2,28.18,No
36,Medium,Yes,4.3,1,22.36,Yes
42,High,Yes,4.9,0,31.92,Yes
32,Low,Yes,4,1,21.25,No
21,High,Yes,4.1,1,25.25,No
30,Medium,Yes,3.3,0,34.48,Yes
120,High,Yes,4,2,16.16,Yes
55,Low,No,4.1,4,5.26,Yes
20,Medium,Yes,4.7,1,25.38,Yes
59,Medium,Yes,4.2,2,40.55,Yes
50,Low,Yes,4.4,1,23.46,Yes
23,Medium,No,4.7,2,32.42,Yes
51,High,No,3.7,2,32.07,Yes
50,Low,Yes,4.4,1,37.41,Yes
23,Medium,Yes,3.8,3,40.68,No
23,Medium,Yes,4.9,1,19.53,Yes
45,Medium,Yes,3.2,1,15.43,No
46,Medium,Yes,3.4,0,23.85,Yes
23,Medium,Yes,5,0,5,Yes
56,High,Yes,4.1,1,9.78,No
43,High,Yes,4.1,1,29.92,Yes
36,Medium,No,3.4,1,23.32,No
55,Medium,Yes,4.2,4,22.33,Yes
46,High,Yes,4.1,0,31.13,Yes
46,Medium,Yes,4,0,33.46,Yes
120,Medium,Yes,4.3,1,14.64,Yes
44,Medium,Yes,3.9,3,15.57,No
34,Low,Yes,3.9,1,42.22,Yes
23,Low,No,4,1,5,No
53,Low,Yes,3.7,3,43.9,No
30,Low,Yes,4.2,1,10.34,Yes
18,Medium,No,3.8,3,25.78,No
46,High,No,3.3,2,34.01,Yes
20,Medium,Yes,3.5,2,21.93,Yes
37,Low,No,4.3,2,21.81,Yes
34,Medium,Yes,4.5,2,19.64,Yes
29,Medium,Yes,2.9,1,27.74,Yes
44,Low,No,4.2,2,13.42,No
28,Low,Yes,5,2,22.38,Yes
21,Low,No,4.3,0,19.69,No
43,Low,No,4,2,43.19,No
55,Low,No,3.6,2,25.36,No
59,Low,Yes,3.9,1,14.53,No
36,Medium,Yes,4.2,2,27.69,Yes
33,Low,Yes,4,0,27.12,Yes
31,Low,Yes,3.5,0,33.21,Yes
48,Low,Yes,5,9,26.38,No
34,Low,Yes,4.3,1,5,Yes
20,Low,Yes,3.7,2,31.28,No
21,Medium,No,3.6,0,31.98,No
48,High,No,4.9,0,25.65,Yes
53,Low,Yes,3.4,2,37.28,Yes
38,High,Yes,4.1,2,34.67,Yes
20,Medium,Yes,4.1,2,8.11,Yes
33,Medium,No,4.4,1,28.41,No
22,Low,No,2.7,2,28.13,No
48,Low,Yes,4.2,0,24.47,Yes
49,Low,No,4.5,0,32.96,Yes
35,Low,Yes,4.9,2,25.11,Yes
22,Low,Yes,4.6,1,25.82,Yes
43,Medium,Yes,4.2,3,9.57,No
59,Low,No,4.1,2,19.64,No
31,Medium,No,4.6,1,20.22,Yes
38,Low,Yes,4.9,2,25.01,Yes
120,High,Yes,4.4,3,29.49,Yes
42,Low,No,4.4,2,26.18,Yes
48,Low,Yes,3.3,2,27.47,Yes
120,Low,No,4.8,1,25.01,Yes
55,Medium,Yes,4.3,1,29.99,Yes
21,Medium,No,4.3,2,29.86,Yes
26,Medium,Yes,3.4,2,19.48,No
58,High,No,4.8,0,12.77,Yes
48,High,Yes,3.6,1,30.59,Yes
24,Medium,Yes,3.9,1,24.67,Yes
54,High,Yes,4.3,0,35.94,Yes
52,Medium,Yes,3.6,1,21.4,Yes
44,Medium,Yes,4,1,26.17,Yes
40,Medium,No,3.5,2,19.03,No
26,Medium,No,5,1,27.9,Yes
30,Medium,Yes,4.5,2,32.17,Yes
23,Low,Yes,4.7,2,28.9,Yes
25,Medium,Yes,5,1,29.81,Yes
40,High,Yes,5,2,46,Yes
55,Medium,Yes,3.8,2,29.28,No
43,High,Yes,3.9,0,27.96,Yes
40,Medium,Yes,4.2,3,20.24,No
31,Medium,Yes,3.8,0,26.15,Yes
23,High,Yes,90,1,28.03,Yes
39,Medium,No,4.1,3,18.75,No
28,Low,No,4.3,1,17.82,No
45,Medium,Yes,3.7,3,28.92,No
120,High,Yes,5,3,22.74,Yes
42,High,No,4.5,0,12.67,No
24,Medium,Yes,3.7,3,22.47,No
22,Medium,Yes,4.9,2,19.29,Yes
25,Low,Yes,3.6,2,14.62,No
